offering_id,name,hotel_class,region_id,type,region,locality
217256,El Patio Inn,2.0,32655,hotel,CA,Los Angeles
119399,Hollywood Cityview Inn & Suites,,32655,hotel,CA,Los Angeles
82496,The Voyager Motor Inn,,32655,hotel,CA,Los Angeles
1591524,City Center Hotel,,32655,hotel,CA,Los Angeles
81285,Sunrise Hotel San Pedro,2.0,32655,hotel,CA,Los Angeles
249704,Americas Best Value Inn,,32655,hotel,CA,Los Angeles
1642879,Valley Lodge Motel,,32655,hotel,CA,Los Angeles
235430,BLVD Hotel & Suites,2.5,32655,hotel,CA,Los Angeles
271581,St. George Motor Inn,,32655,hotel,CA,Los Angeles
1640422,Relax Inn Motel,,32655,hotel,CA,Los Angeles
1229893,Hyland Motel Van Nuys,2.0,32655,hotel,CA,Los Angeles
281769,Hollywood Studio Inn & Suites,,32655,hotel,CA,Los Angeles
77809,Kawada Hotel,2.0,32655,hotel,CA,Los Angeles
119390,Stars Inn,,32655,hotel,CA,Los Angeles
817023,777 Motor Inn,,32655,hotel,CA,Los Angeles
77717,Dunes Inn - Wilshire,2.0,32655,hotel,CA,Los Angeles
84480,Ramada Wilshire Center,2.5,32655,hotel,CA,Los Angeles
271481,Travel Inn,1.5,32655,hotel,CA,Los Angeles
248069,Bevonshire Lodge Motel,,32655,hotel,CA,Los Angeles
634746,Travelodge Sylmar/Magic Mountain Area,2.0,32655,hotel,CA,Los Angeles
276208,Cecil Hotel,2.0,32655,hotel,CA,Los Angeles
119434,The Claremont Hotel,,32655,hotel,CA,Los Angeles
226148,Studio 6 Van Nuys,2.0,32655,hotel,CA,Los Angeles
84365,Rodeway Inn Culver City,2.0,32655,hotel,CA,Los Angeles
77753,The Historic Mayfair Hotel,2.0,32655,hotel,CA,Los Angeles
77260,Rodeway Inn,2.0,32655,hotel,CA,Los Angeles
225809,Best Inn Hollywood,,32655,hotel,CA,Los Angeles
77859,Stillwell Hotel,1.5,32655,hotel,CA,Los Angeles
249692,Ritz Milner Hotel,2.0,32655,hotel,CA,Los Angeles
119422,Liberty Hotel,2.0,32655,hotel,CA,Los Angeles
613137,Royal Pagoda Motel,2.0,32655,hotel,CA,Los Angeles
77729,BEST WESTERN PLUS Dragon Gate Inn,3.5,32655,hotel,CA,Los Angeles
119414,L.A. Sky Boutique Hotel,3.5,32655,hotel,CA,Los Angeles
84483,Oxford Palace Hotel,,32655,hotel,CA,Los Angeles
275366,Super 8 North Hollywood,2.0,32655,hotel,CA,Los Angeles
77844,Radisson Midtown at USC,2.5,32655,hotel,CA,Los Angeles
84434,Radisson Hotel Chatsworth,3.0,32655,hotel,CA,Los Angeles
239812,The Dixie Hollywood,3.0,32655,hotel,CA,Los Angeles
553344,Americas Best Value Inn - Los Angeles / Hollywood,3.0,32655,hotel,CA,Los Angeles
1752249,Hollywood Historic Hotel,3.0,32655,hotel,CA,Los Angeles
84515,Quality Inn Hollywood,2.0,32655,hotel,CA,Los Angeles
1007413,Knights Inn Woodland Hills,2.0,32655,hotel,CA,Los Angeles
268977,Hollywood Downtowner Inn,2.0,32655,hotel,CA,Los Angeles
235133,Super 8 Los Angeles / Alhambra,2.0,32655,hotel,CA,Los Angeles
252254,Super 8 Canoga Park,2.0,32655,hotel,CA,Los Angeles
119464,La Mirage Inn,,32655,hotel,CA,Los Angeles
553345,Americas Best Value Inn & Suites Granada Hills,2.0,32655,hotel,CA,Los Angeles
570515,Extended Stay America - Los Angeles - Northridge,2.0,32655,hotel,CA,Los Angeles
226056,Extended Stay America - Los Angeles - Woodland Hills,2.0,32655,hotel,CA,Los Angeles
632541,Comfort Inn and Suites near Universal Studios,2.0,32655,hotel,CA,Los Angeles
240151,Motel 6 Los Angeles - Hollywood,,32655,hotel,CA,Los Angeles
82684,Comfort Inn Near Warner Center,2.0,32655,hotel,CA,Los Angeles
